name,abv,image_url
MOET & CHANDON Brut Imperial⚡,12%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/MOET-CHANDON-Brut-Imperial.jpg"
Johnnie Walker Red Label 12 Year Old 5cl miniature,40%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/Johnnie-Walker-Red-Label-Miniature-50ml.jpg"
JOHNNIE WALKER Gold Label Reserve,40%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/JOHNNIE-WALKER-Gold-Label-Reserve-1.jpg"
LUIS FELIPE EDWARDS Pinot Noir,75cl,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/LUIS-FELIPE-EDWARDS-Pinot-Noir.jpg"
Aperol Liqueur,11%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/APEROL-Ricetta-Originale.png"
Hendrick’s Gin,41.4%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/HENDRICK%E2%80%99S-Gin.jpg"
ENDU BORNEO Endu Classic Sparkling Tuak,17%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/ENDU-BORNEO-Endu-Classic-Sparkling-Tuak.jpg"
LYRE’S Non-Alcoholic Classico Grande,70cl,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/LYRES-Non-Alcoholic-Classico-Grande.jpg"
MEDINET Rouge 1L,12%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/MEDINET-Rouge-1L.jpg"
LUIS FELIPE EDWARDS Merlot,13%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/luis-felipe-edwards-merlot.png"
ROYAL SALUTE 21 Year Old Signature Blend,40%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/ROYAL-SALUTE-21-Year-Old-Signature-Blend.png"
JOHNNIE WALKER Blue Label,40%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/JOHNNIE-WALKER-Blue-Label.jpg"
KAMOTSURU Itteki Nyukon,72cl,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/KAMOTSURU-Itteki-Nyukon.jpg"
SAITO Dry Karakuchi Sake 1.8L,13.5%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/SAITO-Dry-Karakuchi-Sake-1.8L.png"
